feature,importance
Column_24,1834.4334192276
Column_23,1399.7152118682861
Column_31,1392.168511390686
Column_19,1241.3585014343262
Column_43,1095.9671993255615
Column_27,795.1740036010742
Column_44,750.0326910018921
Column_49,722.8275995254517
Column_15,609.7052011489868
Column_47,534.5313930511475
Column_20,499.6304006576538
Column_32,461.9924030303955
Column_17,355.982102394104
Column_38,353.04839992523193
Column_41,301.0412998199463
Column_42,271.28170108795166
Column_45,222.44380283355713
Column_48,219.48729705810547
Column_2,217.62659740447998
Column_28,188.80239868164062
Column_3,184.1017026901245
Column_46,180.60249996185303
Column_16,172.8430004119873
Column_33,164.31999969482422
Column_18,159.45980072021484
Column_36,159.06980323791504
Column_29,154.78629970550537
Column_34,150.6402988433838
Column_21,96.72180080413818
Column_37,81.68649864196777
Column_40,73.24539947509766
Column_39,69.05060005187988
Column_22,67.68830108642578
Column_5,65.8656005859375
Column_0,61.804500579833984
Column_7,53.72529983520508
Column_1,43.8705997467041
Column_25,37.15590000152588
Column_26,30.884199142456055
Column_30,27.596900939941406
Column_11,0.0
Column_9,0.0
Column_10,0.0
Column_4,0.0
Column_12,0.0
Column_13,0.0
Column_14,0.0
Column_6,0.0
Column_8,0.0
Column_35,0.0
Column_50,0.0
